date,close,open,high,low,var
2011-10-19,1641.8,1654.25,1665.39,1638.9,-0.01
2011-10-20,1619.1,1642.94,1645,1603.49,-0.01
2011-10-21,1641.02,1618.49,1648.59,1610.94,0.01
2011-10-24,1652.68,1641.49,1662.09,1635.1,0.01
2011-10-25,1705.35,1652.4,1710.8,1643.24,0.03
2011-10-26,1725.75,1705.19,1728.5,1694.7,0.01
2011-10-27,1744.45,1724.74,1750.11,1705.24,0.01
2011-10-28,1742.95,1743.84,1752.85,1732.14,0
2011-10-31,1715.25,1742.15,1746.5,1704.59,-0.02
2011-11-01,1720.3,1714.05,1725.29,1681.74,0
2011-11-02,1737,1718.9,1745.89,1713.74,0.01
2011-11-03,1763.15,1736,1767.9,1722.34,0.02
2011-11-04,1754.15,1762.4,1764.9,1749.14,-0.01
2011-11-07,1795.86,1753.35,1798.69,1752.29,0.02
2011-11-08,1785,1794.39,1803.1,1776.6,-0.01
2011-11-09,1772.24,1784.44,1799.64,1763.39,-0.01
2011-11-10,1759.2,1769.85,1775.85,1735.69,-0.01
2011-11-11,1788.99,1759.14,1789.41,1745.54,0.02
2011-11-14,1781,1787.64,1796.16,1773.09,0
2011-11-15,1781.4,1779.89,1785.85,1760.04,0
2011-11-16,1762.35,1781.09,1784.14,1753.39,-0.01
2011-11-17,1719.1,1761.79,1767.16,1709.64,-0.02
2011-11-18,1723.05,1721.59,1737.79,1710.64,0
2011-11-21,1680.85,1722.64,1726.64,1665.88,-0.02
2011-11-22,1699.2,1678.79,1705.8,1671.05,0.01
2011-11-23,1693.3,1699.8,1710.77,1677.08,0
2011-11-24,1694.75,1691.89,1702.23,1687.19,0
2011-11-25,1680.13,1694.35,1697.9,1671.59,-0.01
2011-11-28,1712.3,1680.2,1720.49,1680.2,0.02
2011-11-29,1716.75,1711.19,1720.76,1703.25,0
2011-11-30,1745.7,1714.39,1750.23,1700.4,0.02
2011-12-01,1745.25,1745.99,1754.86,1733.24,0
2011-12-02,1745.25,1744.3,1762.61,1737.29,0
2011-12-05,1721.64,1745.2,1755.3,1717.49,-0.01
2011-12-06,1728.2,1721.64,1733.46,1701.99,0
2011-12-07,1742.1,1727.6,1743.26,1719.79,0.01
2011-12-08,1708.8,1741.39,1754.7,1703.9,-0.02
2011-12-09,1711.1,1707.59,1724.3,1702.84,0
2011-12-12,1666.3,1710.78,1715.05,1657.04,-0.03
2011-12-13,1632.1,1665.64,1678.3,1622.14,-0.02
2011-12-14,1575.1,1631.31,1641.89,1564.05,-0.03
2011-12-15,1570.7,1573.79,1594.26,1560.36,0
2011-12-16,1597.95,1569.79,1600.95,1568.4,0.02
2011-12-19,1594.1,1598.75,1608.5,1582.84,0
2011-12-20,1615.65,1593.4,1619.12,1591.49,0.01
2011-12-21,1615.15,1614.4,1642.36,1605.54,0
2011-12-22,1604.7,1614.49,1617.36,1598.29,-0.01
2011-12-23,1606.6,1605.89,1614.31,1602.29,0
2011-12-26,1605.82,1606.65,1612.15,1597,0
2011-12-27,1592.9,1606.65,1607.79,1588.89,-0.01
2011-12-28,1553,1592.89,1593.81,1549.24,-0.03
2011-12-29,1546.7,1555.69,1561.51,1521.94,0
2011-12-30,1564.3,1545.39,1581.26,1544.25,0.01
2012-01-02,1566.27,1565.75,1569.61,1564.51,0
2012-01-03,1604.14,1565.75,1607.45,1565.39,0.02
2012-01-04,1612.4,1601.89,1618.92,1592.24,0.01
2012-01-05,1623,1610.89,1625.86,1596.24,0.01
2012-01-06,1616.85,1620.99,1630.56,1608.44,0
2012-01-09,1611.5,1616.28,1623.69,1604.44,0
2012-01-10,1631.56,1610.89,1640.27,1607.94,0.01
2012-01-11,1641.8,1631.89,1647.4,1629.79,0.01
2012-01-12,1650.1,1640.24,1662.12,1639.99,0.01
2012-01-13,1639.35,1649.8,1650.75,1625.2,-0.01
2012-01-16,1643.4,1639.18,1647.35,1630.94,0
2012-01-17,1651.74,1643.38,1667.87,1641,0.01
2012-01-18,1661.25,1651.7,1662.5,1642.24,0.01
2012-01-19,1657.6,1659.3,1670.15,1648.54,0
2012-01-20,1666.9,1657.29,1667.11,1644.19,0.01
2012-01-23,1677,1666.18,1681.66,1662.09,0.01
2012-01-24,1665.2,1676.49,1679.89,1660.79,-0.01
2012-01-25,1711.9,1665.19,1713.3,1648.69,0.03
2012-01-26,1721.5,1709.86,1730.62,1702.79,0.01
2012-01-27,1738.89,1719.99,1738.91,1714.29,0.01
2012-01-30,1730.05,1737.55,1739.35,1716.19,-0.01
2012-01-31,1739.43,1728.79,1747.79,1726.4,0.01
2012-02-01,1743.6,1737.89,1751.56,1732.09,0
2012-02-02,1759.99,1743.6,1761.57,1740.89,0.01
2012-02-03,1725.3,1759.2,1763.76,1723.49,-0.02
2012-02-06,1720.3,1725.8,1738.09,1711.29,0
2012-02-07,1746.5,1719.3,1750.2,1709.29,0.02
2012-02-08,1733.55,1745.2,1751.86,1724.39,-0.01
2012-02-09,1729.6,1733.2,1751.9,1725.19,0
2012-02-10,1719.85,1731.09,1734.8,1703.69,-0.01
2012-02-13,1722.5,1724.69,1733.61,1715.86,0
2012-02-14,1720.1,1722.46,1727.81,1711.7,0
2012-02-15,1729.01,1719.2,1737.47,1718.1,0.01
2012-02-16,1728.7,1727.39,1730.01,1705.09,0
2012-02-17,1722.45,1728.29,1735.95,1716.89,0
2012-02-20,1734,1723.28,1737.3,1723.17,0.01
2012-02-21,1759.15,1733.63,1760.21,1730.69,0.01
2012-02-22,1777.55,1759.19,1781.8,1749.14,0.01
2012-02-23,1780.1,1775.74,1787.61,1771.79,0
2012-02-24,1773.49,1779.7,1783.11,1770.14,0
2012-02-27,1766.3,1772.8,1779.59,1761.76,0
2012-02-28,1785.85,1766.49,1789.96,1765.44,0.01
2012-02-29,1695.2,1784.09,1790.8,1687.99,-0.05
2012-03-01,1716.55,1695.59,1726.21,1694.09,0.01
2012-03-02,1712.3,1717.3,1724.19,1704.79,0
2012-03-05,1706.7,1710.65,1716.76,1694.24,0
2012-03-06,1674,1705.57,1709,1663.95,-0.02
2012-03-07,1684.95,1673.99,1688.42,1670.74,0.01
2012-03-08,1700.65,1684.69,1703.86,1682.45,0.01
2012-03-09,1713.09,1699.7,1714.59,1677.34,0.01
2012-03-12,1700.53,1708.58,1714.3,1692.34,-0.01
2012-03-13,1675.5,1699.05,1705.97,1661.99,-0.01
2012-03-14,1643.6,1674.24,1683.45,1634.09,-0.02
2012-03-15,1658.23,1642.39,1666.79,1636.09,0.01
2012-03-16,1660.65,1659.1,1665.01,1639.19,0
2012-03-19,1664.55,1652.98,1671.4,1652.14,0
2012-03-20,1650.35,1664.04,1666.29,1641.29,-0.01
2012-03-21,1650.5,1650.5,1661.65,1646.3,0
2012-03-22,1644.85,1650.05,1658.01,1627.68,0
2012-03-23,1662.26,1644.88,1666.74,1641.84,0.01
2012-03-26,1689.98,1661.2,1694,1654.99,0.02
2012-03-27,1680.05,1689.69,1696.81,1678.5,-0.01
